frequency,time,days,stationName,language,itu,txLocation,coordinates,power,azimuth,remarks
585,0000-2400,1234567,IRIB Radio Farhang,Persian,IRN,Ghestagh,360110N0502333E,1000,,IRIB
585,0000-2400,1234567,NHK 1 Iwakuni,Japanese,J,Iwakuni,340941N1321401E,0.3,,
585,0000-2400,1234567,NHK 1 Koza,Japanese,J,Wakayama-Koza,333056N1354951E,0.1,,
585,0000-2400,1234567,NHK 1 Kushiro,Japanese,J,Kushiro,425923N1442447E,10,,JOPG
585,0000-2400,1234567,NHK 1 Maizuru,Japanese,J,Maizuru,352832N1352326E,0.5,,
585,0000-2400,1234567,RNE Radio Nacional,Spanish,E,Majadahonda (Madrid),402907N0035228W,600,,RNE1
585,0300-2300,1234567,SBC R.Riyadh,Arabic,ARS,Riyadh,244936N0465243E,1200,,SBA
594,0030-1730,1234567,ALL INDIA RADIO,Bengal/Hindi/English,IND,Chinsurah,230129N0882117E,1000,,AIR b24
594,0000-2400,1234567,NHK 1 Tokyo,Japanese,J,Saitama-Kuki,360415N1393729E,300,,JOAK
594,2050-1805,1234567,PBS Xizang,Tibetan,TIB,Lhasa-Baiding 602,293856N0911511E,200,ND,CTB
594,2300-1700,1234567,R.Myanmar,Burmese,MMR,Naypyidaw,201056N0960827E,200,,MRTV //5985
594,0300-1500,1234567,SBA Radio Riyadh,Arabic,ARS,Duba,272700N0353522E,2000,,BSKSA Genaral 1st
603,0400-0600,1234567,CHINA RADIO INTERNATIONAL,Vietnamese,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
603,1100-1200,1234567,CHINA RADIO INTERNATIONAL,Cantonese,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
603,1200-1700,1234567,CHINA RADIO INTERNATIONAL,Vietnamese,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
603,2300-0100,1234567,CHINA RADIO INTERNATIONAL,Vietnamese,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
603,2000-1800,1234567,KBS 2 Happy FM,Korean,KOR,Hwaseong,371507N1264452E,500,,HLSA 106.1
603,0000-2400,1234567,NHK 1 Obihiro,Japanese,J,Obihiro,425853N1431158E,5,,JOOG
603,0000-2400,1234567,NHK 1 Okayama,Japanese,J,Okayama,343644N1335354E,5,,JOKK
603,0000-2400,1234567,Radio Romania Actualitati,Romanian,ROU,Oradea,465958N0220018E,50,,SRR
603,0000-2400,1234567,Smooth Radio,English,G,Littlebourne,511715N0010931E,0.4,ND,
612,0000-2400,1234567,4QR ABC Brisbane,English,AUS,Brisbane/Bald Hills,271842S1530103E,50,,4QR
612,0000-2400,1234567,BRTC Al-Quran,Arabic,BHR,Abu Hayan,260221N0503724E,100,ND,BRTC
612,0000-1200,1234567,KYRGYZ RADIO 1Birinchi Radio,Kyrgyz,KGZ,Bishkek,425242N0745920E,150,,KGR1
612,0000-2400,1234567,NHK 1 Fukuoka,Japanese,J,Fukuoka,333158N1302645E,100,,JOLK
612,1425-1455,.2345..,TWR Asia,Uighur,KGZ,Bishkek,425242N0745920E,150,,TWR b24
612,1455-1545,1234567,TWR Asia,Kazakh,KGZ,Bishkek,425242N0745920E,150,,TWR b24
612,1545-1600,1......,TWR Asia,Russian,KGZ,Bishkek,425242N0745920E,150,,TWR b24
612,1545-1615,.234567,TWR Asia,Russian,KGZ,Bishkek,425242N0745920E,150,,TWR b24
612,1600-1615,1......,TWR Asia,Uzbek,KGZ,Bishkek,425242N0745920E,150,,TWR b24
612,1615-1700,1234567,TWR Asia,Uzbek,KGZ,Bishkek,425242N0745920E,150,,TWR b24
612,1700-1715,1....67,TWR Asia,Kazakh,KGZ,Bishkek,425242N0745920E,150,,TWR b24
