frequency,time,days,stationName,language,itu,txLocation,coordinates,power,azimuth,remarks
1143,0400-0600,1234567,VOICE OF TAJIK,Persian,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,0600-0800,1234567,VOICE OF TAJIK,Dari,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,0800-1000,1234567,VOICE OF TAJIK,Russian,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,1000-1100,1234567,VOICE OF TAJIK,Uzbek,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,1100-1200,1234567,VOICE OF TAJIK,Hindi,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,1200-1300,1234567,VOICE OF TAJIK,Arabic,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,1300-1400,1234567,VOICE OF TAJIK,English,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,1400-1600,1234567,VOICE OF TAJIK,Tajik,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1143,1600-1800,1234567,VOICE OF TAJIK,Persian,TJK,Dushanbe-Yangiyul,382844N0684820E,150,ND,Ovozi Tojik
1152,2100-1540,1234567,NHK 2 Kochi,Japanese,J,Kochi,333347N1333524E,10,,JORB
1152,2100-1540,1234567,NHK 2 Kushiro,Japanese,J,Kushiro,425923N1442447E,10,,JOPC
1152,2100-1440,1234567,NHK 2 Tsuyama,Japanese,J,Okayama-Tsuyama,350330N1340025E,0.1,,NHK2 Su-1500
1152,0200-2100,1234567,Radio Romania Actualitati,Romanian,ROU,Jucu,465204N0234832E,400,,SRR
1152,0000-2400,1234567,Smooth Radio,English,G,Brundall,523707N0012414E,0.8,,
1152,0000-2400,1234567,Voice of Kerala,Malayalam,UAE,Ras al Khaimah,254239N0554925E,200,,RAK Media
1161,0000-2400,1234567,NHK 1 Aizuwakamatsu,Japanese,J,Fukushima-Aizuwakamatsu,372937N1395620E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Atami,Japanese,J,Shizuoka-Atami,350514N1390433E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Fukuyama,Japanese,J,Hiroshima-Fukuyama,342959N1332100E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Futaba,Japanese,J,Fukushima-Futaba,372110N1410126E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Ikeda,Japanese,J,Tokushima-Ikeda,340144N1334742E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Imagane,Japanese,J,Hokkaido-Imagane,422527N1395750E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Kesennuma,Japanese,J,Miyagi-Kesennuma,385343N1413345E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Matsumae,Japanese,J,Hokkaido-Matsumae,412537N1400516E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Miyakonojo,Japanese,J,Miyazaki-Miyakonojo,314544N1310528E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Nakatsugawa,Japanese,J,Nakatsugawa,352838N1372917E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Naruko,Japanese,J,Miyagi-Naruko,384520N1404332E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Obama,Japanese,J,Fukui-Obama,353000N1354509E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Odate,Japanese,J,Akita-Odate,401545N1403337E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Owase,Japanese,J,Mie-Owase,340414N1361137E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Rumoi,Japanese,J,Hokkaido-Rumoi,435601N1413826E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Saeki,Japanese,J,Oita-Saeki,325810N1315439E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Shiratori,Japanese,J,Gifu-Shiratori,355112N1365223E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Shobara,Japanese,J,Hiroshima-Shobara,345137N1330126E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Tanabe,Japanese,J,Wakayama-Tanabe,334449N1352335E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Towada,Japanese,J,Aomori-Towada,403626N1411400E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Toyohashi,Japanese,J,Toyohashi,344543N1372152E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Toyooka,Japanese,J,Hyogo-Toyooka,353156N1344939E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Tsunan,Japanese,J,Niigata-Tsunan,370312N1384102E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Ueno,Japanese,J,Mie-Ueno,344522N1360800E,0.1,,NHK1
1161,0000-2400,1234567,NHK 1 Yusuhara,Japanese,J,Kochi-Yusuhara,332340N1325528E,0.1,,NHK1
1161,0000-2400,1234567,Three counties Radio,English,G,Kempston,520624N0002921W,0.16,ND,
1161,0130-0420,1234567,VO ISLAMIC REP.IRAN,Arabic,IRN,Qasr-e Shirin,342654N0453658E,600,,IRIB b24
1161,1520-2020,1234567,VO ISLAMIC REP.IRAN,Arabic,IRN,Qasr-e Shirin,342654N0453658E,600,,IRIB b24
1170,0000-2400,1234567,Chifeng Mongolian Radio,Mongolian,CHN,Daban/NMTS805,433057N1183954E,50,ND,CNR8/1
1170,2130-1440,1234567,Hulunbei'er Xinwen Zonghe Pindao,Chinese,CHN,Hailar/NMTS763,491804N1194815E,50,ND,Hulu1
1170,1400-0400,1234567,KBS Hanminjok Bangsong 2,Korean,KOR,Kimjae,354917N1265204E,500,ND,KBS a25
1170,1000-1100,1234567,KBS WORLD RADIO,Korean,KOR,Kimjae,354917N1265204E,500,ND,KBS a25
1170,1100-1200,1234567,KBS WORLD RADIO,Japanese,KOR,Kimjae,354917N1265204E,500,ND,KBS a25
1170,1200-1300,1234567,KBS WORLD RADIO,Russian,KOR,Kimjae,354917N1265204E,500,ND,KBS a25
1170,1300-1400,1234567,KBS WORLD RADIO,Chinese,KOR,Kimjae,354917N1265204E,500,ND,KBS a25
1170,0000-2400,1234567,Radio Capodistria,Italian,SVN,Beli Kriz,453115N0133432E,10,,RSI
1170,0000-2400,1234567,Smooth Radio,English,G,Ipswich/Foxhall Heath,520319N0011335E,0.28,ND,
1170,1800-1815,1......,TWR Africa,Shona,SWZ,Mpangela Ranch,262040S0313553E,100,,TWR b24
1170,1800-1830,.23456.,TWR Africa,Shona,SWZ,Mpangela Ranch,262040S0313553E,100,,TWR b24
1170,1800-2015,......7,TWR Africa,English,SWZ,Mpangela Ranch,262040S0313553E,100,,TWR b24
1170,1815-2000,1......,TWR Africa,English,SWZ,Mpangela Ranch,262040S0313553E,100,,TWR b24
1170,1830-1925,.23456.,TWR Africa,English,SWZ,Mpangela Ranch,262040S0313553E,100,,TWR b24
1170,1925-2025,.23456.,TWR Africa,Zulu,SWZ,Mpangela Ranch,262040S0313553E,100,,TWR b24
1170,2025-2055,.23456.,TWR Africa,English,SWZ,Mpangela Ranch,262040S0313553E,100,,TWR b24
1170,0000-2400,1234567,Voice of the Republic Radio,Arabic,UAE,Al-Dhabbiya,241343N0542456E,800,0,YEM
1179,0000-2400,1234567,Mainichi Hoso (MBS),Japanese,J,Kyoto,345857N1354714E,0.3,,
1179,0000-2400,1234567,Mainichi Hoso (MBS),Japanese,J,Osaka,343106N1352637E,50,,JOOR
1179,0000-2400,1234567,Radio Romania Actualitati,Romanian,ROU,Galbeni-Bacau,464438N0265041E,400,,SRR
1180,0000-2100,1234567,R.MARTI,Spanish,USA,"Marathon, FL",244158N0810516W,100,,OCB/AGM b24
1188,1100-1200,1234567,CHINA RADIO INTERNATIONAL,Burmese,CHN,Kunming-Anning 501,245304N1022918E,600,,CRI a25
1188,1200-1300,1234567,CHINA RADIO INTERNATIONAL,English,CHN,Kunming-Anning 501,245304N1022918E,600,,CRI a25
1188,1300-1400,1234567,CHINA RADIO INTERNATIONAL,Bengali,CHN,Kunming-Anning 501,245304N1022918E,600,,CRI a25
1188,1400-1500,1234567,CHINA RADIO INTERNATIONAL,Nepali,CHN,Kunming-Anning 501,245304N1022918E,600,,CRI a25
1188,1500-1600,1234567,CHINA RADIO INTERNATIONAL,English,CHN,Kunming-Anning 501,245304N1022918E,600,,CRI a25
1188,1600-1700,1234567,CHINA RADIO INTERNATIONAL,Hindi,CHN,Kunming-Anning 501,245304N1022918E,600,,CRI a25
1188,1000-1100,.23456.,FEBC RADIO,English,KOR,Daebu Ansan,371314N1263329E,100,,HLKX
1188,1900-2000,1234567,FEBC RADIO,Chinese,KOR,Daebu Ansan,371314N1263329E,100,,HLKX
1188,2000-2200,1234567,FEBC RADIO,Korean,KOR,Daebu Ansan,371314N1263329E,100,,HLKX
1188,2200-1000,1234567,FEBC RADIO,Korean,KOR,Daebu Ansan,371314N1263329E,100,,HLKX
1188,0330-2002,1234567,MR4 Nemzetisegi Adasok,Hungarian/Germany/,HNG,Marcali/Kisperjes,463654N0172753E,300,,MR4
1188,0330-2002,1234567,MR4 Nemzetisegi Adasok,Hungarian/Germany/,HNG,Szolnok,471120N0201345E,100,,MR4
1188,0000-2400,1234567,NHK 1 Kitami,Japanese,J,Kitami,435722N1441352E,10,,NHK1 JOKP
1188,1500-1900,1234567,R.FREE ASIA,Korean,KOR,Daebu Ansan,371314N1263329E,100,,HLKX RFA/AGM b24
1188,1100-1500,1234567,VOICE OF AMERICA,Korean,KOR,Daebu Ansan,371314N1263329E,100,,HLKX VOA/AGM b24
1197,0000-2400,1234567,Absolute Radio,English,G,Shorham-by-sea,504956N0001457W,.,,
1197,0000-2400,1234567,Gifu Radio (GBS),Japanese,J,Hagiwara,354948N1371353E,0.1,,
1197,0000-2400,1234567,Ibaragi Hoso (IBS),Japanese,J,Mito,362604N1402624E,5,,JOYF
1197,0000-2400,1234567,Kouchi Hoso (RKC),Japanese,J,Nakamura,325900N1325519E,3,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Aso,325615N1310314E,1,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Kawaura,321806N1300422E,0.1,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Kumamoto-Goshi,325502N1304336E,10,,JOBF
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Goshonoura,322024N1301838E,1,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Arao,325827N1302555E,0.1,,24Feb.5-'25Jan.31off
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Oguni,330633N1310342E,0.1,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Hitoyoshi,321214N1304733E,1,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Soyo Minami,324128N1310716E,0.1,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Soyo Kita,324606N1311125E,0.1,,
1197,0000-2400,1234567,Kumamoto Hoso (RKK),Japanese,J,Minamiaso,324909N1310554E,0.1,,
1197,0000-2400,1234567,RKB Radio,Japanese,J,Kitakyushu,335626N1304828E,1,,JOFO
1197,0000-2400,1234567,Shinetsu Hoso (SBC),Japanese,J,Suwa,360328N1380401E,0.1,,JOSE
1197,0000-2400,1234567,STV Radio,Japanese,J,Asahikawa,434626N1422632E,3,,JOWL
1197,0000-2400,1234567,STV Radio,Japanese,J,Enbetsu,444358N1414725E,1,,
1197,0000-2400,1234567,STV Radio,Japanese,J,Wakkanai,452405N1414013E,1,,
1197,0000-2400,1234567,STV Radio,Japanese,J,Nayoro,442137N1422523E,1,,
1197,0000-2400,1234567,STV Radio,Japanese,J,Rumoi,435523N1413758E,0.1,,
1206,0000-2400,1234567,PBS Yanbian,Korean,CHN,Jilin-Yanji,424730N1292918E,150,,YBRT
1215,0000-2400,1234567,Absolute Radio,English,G,Moorside Edge,533807N0015344W,200,,
1215,0000-2400,1234567,Aomori Hoso (RAB),Japanese,J,Aomori-Hirosaki,403642N1402905E,0.5,,JOGE
1215,0000-2400,1234567,KBS Kyoto (KBS),Japanese,J,Shiga-Hikone,311442N1361118E,1,,JOBW
1215,0000-2400,1234567,KBS Kyoto (KBS),Japanese,J,Kyoto-Maizuru,353208N1352030E,2,,JOBO
1215,0000-2400,1234567,Tohoku Hoso (TBC),Japanese,J,Miyagi-Shizugawa,384111N1412825E,0.1,,
1224,0000-2400,1234567,NHK 1 Kanazawa,Japanese,J,Ishikawa-Nonoichi,363205N1363624E,10,,NHK1 JOJK
1224,0000-2400,1234567,NHK 1 Sera,Japanese,J,Hiroshima-Sera,343605N1330344E,0.1,,NHK1
1224,0000-2400,1234567,NHK 1 Tanohata,Japanese,J,Iwate-Tanohata,395543N1415522E,0.1,,NHK1
1224,0000-2400,1234567,VO ISLAMIC REP.IRAN,Arabic,IRN,Kish Island,263355N0535550E,400,,IRIB b24
1233,0000-2400,1234567,Absolute Radio,English,G,Manningtree,515526N0010510E,0.5,,
1233,0000-2400,1234567,Aomori Hoso (RAB),Japanese,J,Aomori,404729N1403850E,5,,JOGR
1233,2040-1400,1234567,DYVS FEBC,Tagalog,PHL,Bacolod City,103702N1225630E,10,,FEBC
1233,0230-1920,1234567,Monte Carlo Doualiya,Arabic,CYP,Cape Greco,345742N0340455E,600,205,RMC
1233,0000-2400,1234567,Nagasaki Hoso (NBC),Japanese,J,Nagasaki,324315N1295322E,5,,JOUR
1233,0000-2400,1234567,Nagasaki Hoso (NBC),Japanese,J,Nagasaki-Shimabara,324634N1302137E,0.1,,
1233,0000-2400,1234567,Nagasaki Hoso (NBC),Japanese,J,Nagasaki-Isahaya,325020N1300246E,0.1,,
1233,0000-2400,1234567,NHK 1 Osaka,Japanese,J,Hyogo-SinOnsenmachi,353530N1342919E,0.5,,NHK1 2017 Dec.-
1233,0000-2400,1234567,Radio Dechovka,Czech,CZE,Praha/Zbraslav,495653N0142207E,10,ND,
1233,0000-2400,1234567,Wakayama Hoso (WBS),Japanese,J,Wakayama-Tanabeshiraham,334211N1352347E,0.1,,JOVL
1233,0000-2400,1234567,Wakayama Hoso (WBS),Japanese,J,Wakayama-Hikigawa Susam,333330N1352737E,0.3,,
1240,0000-2400,1234567,WMMB-AM,English (HD Radio),USA,"Melbourne, Florida",280441N0803555W,1,,WMMB-AM
1242,0000-2400,1234567,Nippon Hoso,Japanese,J,Tokyo,352348N1395916E,100,,JOLF Apr.1 2024
1242,0000-2400,1234567,R.SULTANATE OF OMAN,Arabic,OMA,Al Batinah South Governo,233435N0581437E,500,,
1242,1330-1430,1234567,VOICE OF VIETNAM,Laotian,VTN,Thoi Long,100711N1053357E,500,,VOV a25
1242,1430-1500,1234567,VOICE OF VIETNAM,Thai,VTN,Thoi Long,100711N1053357E,500,,VOV a25
1242,1500-1600,1234567,VOICE OF VIETNAM,Vietnamese,VTN,Thoi Long,100711N1053357E,500,,VOV a25
1242,1600-1630,1234567,VOICE OF VIETNAM,Khmer,VTN,Thoi Long,100711N1053357E,500,,VOV a25
1251,0200-0230,1234567,BBC,Tajik,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC b24
1251,0930-1000,1234567,BBC,Tajik,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC b24
1251,1000-1030,..34567,BBC,English,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC b24
1251,1000-1030,12.....,BBC,Pashto,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC a25
1251,1300-1330,1234567,BBC,English,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC b24
1251,1330-1430,1234567,BBC,Tajik,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC b24
1251,1600-1630,1234567,BBC,Dari,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC a25
1251,1730-1800,1234567,BBC,Dari,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC a25
1251,1800-1830,1234567,BBC,Tajik,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC b24
1251,1830-1900,1234567,BBC,Pashto,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,BBC a25
1251,0000-2400,1234567,CNR 1 Voice of China,Chinese,CHN,Heilongjiang 914 Harbin,451924N1275407E,100,,CNR1
1251,0325-2000,1234567,Danko Radio,Hungarian,HNG,Nyiregyhaza,475612N0214528E,25,,MR1
1251,0325-2000,1234567,Danko Radio,Hungarian,HNG,Szombathely,471202N0163945E,25,,MR1
1251,1430-1500,1234567,IBRA MEDIA/R.Sadaye Zindagi,Hazaragi,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,IBRA a25 ENC
1251,1630-1650,1234567,NHK WORLD RADIO JAPAN,Persian,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,NHK a25
1251,1700-1720,1234567,NHK WORLD RADIO JAPAN,Urdu,TJK,Dushanbe-Yangiyul,382844N0684820E,100,ND,NHK a25
1260,0000-2400,1234567,Absolute Radio,English,G,Romney March,505703N0005457E,1,,
1260,0000-2400,1234567,Tohoku Hoso (TBC),Japanese,J,Miyagi-Sendai,381405N1405800E,20,,JOIR
1269,1100-1300,1234567,CHINA RADIO INTERNATIONAL,English,CHN,Xuanwei-Yunnan 726,260807N1040114E,600,,CRI a25
1269,1400-1500,1234567,CHINA RADIO INTERNATIONAL,Bengali,CHN,Xuanwei-Yunnan 726,260807N1040114E,600,,CRI a25
1269,1600-1800,1234567,CHINA RADIO INTERNATIONAL,Hindi,CHN,Xuanwei-Yunnan 726,260807N1040114E,600,,CRI a25
1269,2255-1500,1234567,Haixia zhi Sheng(VO Strait),Chinese,CHN,Nanping/FJTS802,263907N1181013E,,,VOS a25
1269,0000-2400,1234567,Hokkaido Hoso (HBC),Japanese,J,Esashi,415437N1400840E,1,,JOFM
1269,0000-2400,1234567,Hokkaido Hoso (HBC),Japanese,J,Obihiro,425201N1431801E,5,,JOHW
1269,0000-2400,1234567,Oita Hoso (OBS),Japanese,J,Oita-Saeki,325810N1315439E,1,,JOGS
1269,0000-2400,1234567,Shikoku Hoso (JRT),Japanese,J,Tokushima-Ikeda,340113N1334726E,1,,
1269,0000-2400,1234567,Shikoku Hoso (JRT),Japanese,J,Tokushima,340609N1343550E,5,,JOJR
1269,0000-2400,1234567,Shikoku Hoso (JRT),Japanese,J,Tokushima-Hiwasa,334344N1343215E,0.1,,
1269,0000-2400,1234567,Shikoku Hoso (JRT),Japanese,J,Tokushima-Mugi,333810N1342525E,0.1,,
1270,0000-2400,1234567,WXYT,English (HD Radio),USA,"Detroit, Michigan",420140N0832041W,50,,CBS Sports Radio 1270
1278,0000-2400,1234567,PSB Hebei,Chinese,CHN,Shijiazhuang/HBTS717,374951N1142810E,100,ND,HBTS
1278,0000-2400,1234567,RKB Radio,Japanese,J,Fukuoka,334112N1302543E,50,,JOFR
1278,0000-2400,1234567,UR1 Pershiy kanal,Ukrainian,UKR, Kurisove,465936N0305347E,100,ND,
1287,0000-2400,1234567,Hokkaido Hoso (HBC),Japanese,J,Sapporo,430805N1413154E,50,,JOHR
1296,1100-1700,1234567,CHINA RADIO INTERNATIONAL,Vietnamese,CHN,Kunming-Anning 501,245235N1022917E,600,,CRI a25
1296,0000-2400,1234567,COPE Ciudad Real,Spanish,E,Ciudad Real,392431N0002053W,10,ND,EAK5
1296,0000-2400,1234567,NHK 1 Matsue,Japanese,J,Shimane-Matsue,352242N1324444E,10,,JOTK
1296,1330-0130,1234567,R.AZADI (R.Free Afghanistan),Pashto/Dari,TJK,Dushanbe-Orzu,373216N0684738E,500,ND,RFAF/AGM a24
1296,0000-2400,1234567,Reading Radio,English,AUS,Brisbane/Tingalpa,272745S1530720E,5,ND,4RPH
1305,0600-2300,1234567,RNE Radio 5,Spanish,E,Ourense/Pereiro,422121N0074809W,10,ND,RNE 5
1314,0430-2305,1234567,Bergen Kringkaster,Norwegian,NOR,Erdal,602655N0051300E,0.4,ND,LLE-2 a24
1314,0000-2400,1234567,Radio Osaka (OBC),Japanese,J,Kyoto,345857N1354714E,0.3,,OBC
1314,0000-2400,1234567,Radio Osaka (OBC),Japanese,J,Osaka,343307N1353142E,50,,OBC
1314,0600-2300,1234567,RNE Radio 5,Spanish,E,Tarragona,410638N0010715E,10,ND,RNE 5
1314,0350-2000,1234567,SRR Antena Satelor,Romanian,ROU,Timi?oara/S?c?laz,454455N0210439E,25,ND,SRR
1323,1100-1200,1234567,CHINA RADIO INTERNATIONAL,Russian,CHN,Heilongjang 128,464319N1311240E,200,,CRI a25
1323,1100-1600,1234567,CHINA RADIO INTERNATIONAL,Korean,CHN,Huaduan-Jilin 763,430727N1263125E,600,ND,CRI a25
1323,1200-1300,1234567,CHINA RADIO INTERNATIONAL,Mongolian,CHN,Heilongjang 128,464319N1311240E,200,,CRI a25
1323,1300-1600,1234567,CHINA RADIO INTERNATIONAL,Russian,CHN,Heilongjang 128,464319N1311240E,200,,CRI a25
1323,1500-1800,1234567,CHINA RADIO INTERNATIONAL,English,TKS,Hutubi-Xinjiang 654,440926N0865335E,500,235,CRI a25
1323,2100-2300,1234567,CHINA RADIO INTERNATIONAL,Korean,CHN,Huaduan-Jilin 763,430727N1263125E,600,ND,CRI a25
1323,0000-2400,1234567,CNR 11,Tibetan,TIB,Yadong-Xigaze,273103N0885747E,10,ND,CNR11
1323,1800-2210,1234567,IRRS-Nexus,English,I," Villa Estense, PD",450923N0114208E,15,ND,IRRS a25
1323,0000-2400,1234567,NHK 1 Chizu,Japanese,J,Tottori-Chizu,351540N1341311E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Fukushima,Japanese,J,Fukushima,374630N1402920E,1,,NHK1 JOFP
1323,0000-2400,1234567,NHK 1 Gotsu,Japanese,J,Shimane-Gotsu,350056N1321255E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Kuze,Japanese,J,Okayama-Kuze,350515N1334442E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Muikamachi,Japanese,J,Niigata-Muikamachi,370627N1385245E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Mutsukaichi,Japanese,J,Shimane-Mutsukaichi,342051N1315512E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Nomura,Japanese,J,Ehime-Nomura,332316N1323914E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Susaki,Japanese,J,Kochi-Susaki,332312N1331853E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Takeda,Japanese,J,Oita-Takeda,325735N1312223E,0.1,,NHK1
1323,0000-2400,1234567,NHK 1 Yamada,Japanese,J,Iwate-Yamada,392452N1415923E,1,,NHK1
1323,0050-0520,1234567,VO ISLAMIC REP.IRAN,Azeri,IRN,Jolfa,385608N0453624E,50,,IRIB b24
1323,0520-0920,1234567,VO ISLAMIC REP.IRAN,Azeri,IRN,Jolfa,385608N0453624E,50,,IRIB b24
1323,1420-1650,1234567,VO ISLAMIC REP.IRAN,Azeri,IRN,Jolfa,385608N0453624E,50,,IRIB b24
1332,0300-2300,1234567,Cesky rozhlas 2,Czech,CZE,Moravske Budejovice/Doma,490427N0154233E,25,,Cesky Rozhlas
1332,0000-2400,1234567,Radio Romania Actualitati,Romanian,ROU,Galati,452414N0275940E,50,,SRR
1332,0000-2400,1234567,Tokai Radio Hoso,Japanese,J,Aichi-Shinshiro,345353N1373011E,0.1,,24Jul.1-'25Jan.31off
1332,0000-2400,1234567,Tokai Radio Hoso,Japanese,J,Nagoya,351027N1364719E,50,,JOSF
1340,0000-2400,1234567,WCHB,English (HD Radio),USA,"Royal Oak, Michigan",422810N0830654W,1,,The Gospel Station
1341,0000-2400,1234567,BBC Radio Ulster/Radio 5 Live,English,G,Lisnagarvey,542923N0060337W,100,,BBC
1341,1130-1200,1234567,CHINA RADIO INTERNATIONAL,Filipino,CHN,Huadu-Guangdong 522,232413N1131428E,100,ND,CRI a25
1341,1200-1400,1234567,CHINA RADIO INTERNATIONAL,English,CHN,Huadu-Guangdong 522,232413N1131428E,100,ND,CRI a25
1341,1430-1500,1234567,CHINA RADIO INTERNATIONAL,Filipino,CHN,Huadu-Guangdong 522,232413N1131428E,100,ND,CRI a25
1341,0000-2400,1234567,NHK 1 Hagiwara,Japanese,J,Gifu-Hagiwara,354926N1371358E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Hanawa,Japanese,J,Akita-Hanawa,401255N1404737E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Hirado,Japanese,J,Nagasaki-Hirado,332330N1293255E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Ina,Japanese,J,Nagano-Ina,355013N1375654E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Iwaki,Japanese,J,Fukushima-Iwaki,370333N1405252E,1,,NHK1
1341,0000-2400,1234567,NHK 1 Johen,Japanese,J,Ehime-Johen,325752N1323446E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Kamioka,Japanese,J,Gifu-Kamioka,361930N1371756E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Kubokawa,Japanese,J,Koti-Kubokawa,331221N1330745E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Kuji,Japanese,J,Iwate-Kuji,401049N1414709E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Kusu,Japanese,J,Oita-Kusu,331636N1311015E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Masuda,Japanese,J,Shimane-Masuda,344110N1315026E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Minamata,Japanese,J,Kumamoto-Minamata,321245N1302253E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Nakashibetsu,Japanese,J,Hokkaido-Nakashibetsu,433239N1445827E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Nichinan,Japanese,J,Miyazaki-Nichinan,313618N1312226E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Niimi,Japanese,J,Okayama-Niimi,345820N1332755E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Sakuma,Japanese,J,Shizuoka-Sakuma,350456N1374757E,0.1,,NHK1 '24Sep.30QRT
1341,0000-2400,1234567,NHK 1 Sameura,Japanese,J,Koti-Sameura,334457N1333338E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Shinjo,Japanese,J,Yamagata-Shinjo,384648N1401841E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Tajima,Japanese,J,Fukushima-Tajima,371222N1394616E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Tokamachi,Japanese,J,Niigata-Tokamachi,370831N1384444E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Tokunoshima,Japanese,J,Kagoshima-Tokunoshima,274513N1290058E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Tono,Japanese,J,Iwate-Tono,392024N1413234E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Ueda,Japanese,J,Nagano-Ueda,362407N1381602E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Urakawa,Japanese,J,Hokkaodo-Urakawa,421022N1424620E,0.1,,NHK1
1341,0000-2400,1234567,NHK 1 Yokote,Japanese,J,Akita-Yokote,391840N1403328E,0.1,,NHK1
1350,0000-2400,1234567,Chugoku Hoso (RCC),Japanese,J,Hiroshima,341537N1322321E,20,,JOER
1350,1800-2030,1234567,TWR Europe,Arabic,ARM,Yerevan-Gavar,402408N0451154E,600,232,TWR a24
1350,0000-2400,1234567,WMMV-AM,English (HD Radio),USA,"Cocoa, Florida",282159N0804507W,1,,WMMV-AM
